Great Jagras,1,Ancient Forest
Great Girros,1,Rotten Vale
Dodogama,1,Elders Recess
Kulu-Ya-Ku,1,Wildspire Waste
Tzitzi-Ya-Ku,1,Coral Highlands
Barroth,2,Wildspire Waste
Jyuratodus,2,Wildspire Waste
Lavasioth,2,Elders Recess
Pukei-Pukei,2,Ancient Forest
Paolumu,2,Coral Highlands
Tobi-Kadachi,2,Ancient Forest
Odogaron,4,Rotten Vale
Radobaan,3,Rotten Vale
Uragaan,3,Elders Recess
Anjanath,4,Ancient Forest
Diablos,4,Wildspire Waste
Black Diablos,5,Wildspire Waste
Legiana,4,Coral Highlands
Rathalos,4,Ancient Forest
Azure Rathalos,5,Elders Recess
Rathian,4,Wildspire Waste
Pink Rathian,5,Wildspire Waste
Bazelgeuse,5,all
Deviljho,5,all
Kirin,6,Coral Highlands
Nergigante,6,Elders Recess
Kushala Daora,6,Elders Recess
Teostra,6,Elders Recess
Lunastra,6,Elders Recess
Vaal Hazak,6,Rotten Vale
Zorah Magdaros,7,none
Xeno'jiiva,7,none
Leshen,7,none
Banbaro,4,all
Beotodus,4,Hoarfrost Reach
Nargacuga,5,Ancient Forest
Velkana,6,all
Tigrex,5,all
Shrieking Legiana,5,Hoarfrost Reach
Barioth,4,Hoarfrost Reach
Glavenus,6,Wildspire Waste
Brachydios,5,Elders Recess
Fulgur Anjanath,5,all
Ebony Odogaron,5,all
Acidic Glavenus,7,Rotten Vale
Ruiner Nergigante,7,Guiding Lands
Viper Tobi-Kadachi,4,Hoarfrost Reach
Coral Pukei-Pukei,4,Coral Highlands
Nightshade Paolumu,4,Wildspire Waste
Namielle,6,Coral Highlands
Yian Garuga,4,Guiding Lands
Shara Ishvalda,6,Origin Isle
Savage Deviljho,6,all
Blackveil Vaal Hazak,7,Ancient Forest
Seething Bazelgeuse,6,Elders Recess
Scarred Yian Garuga,5,Guiding Lands
Gold Rathian,6,Guiding Lands
Silver Rathalos,6,Guiding Lands
Brute Tigrex,6,Guiding Lands
Zinogre,5,Ancient Forest
Rajang,5,Guiding Lands
Stygian Zinogre,6,Guiding Lands
Raging Brachydios,6,Guiding Lands
Furious Rajang,6,Hoarfrost Reach
Alatreon,7,none
Frostfang Barioth,5,Hoarfrost Reach
Safi'jiiva,7,none
Fatalis,7,none
Behemoth,7,none
